name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_53.982024_-34.8283_KIDS_53.5_-35.1,53.982024,-34.8283,16.2,25.21,10,0,A
galaxy_53.991167_-35.3478_KIDS_53.5_-35.1,53.991167,-35.3478,3.95,25.03,8.71,1.6,A
galaxy_54.016342_-35.3884_KIDS_53.5_-35.1,54.016342,-35.3884,9.71,24.54,10,0,A
galaxy_128.720703_-1.6737_KIDS_129.0_-1.5,128.720703,-1.6737,5.43,25.56,8.14,2.67,A
galaxy_134.283606_2.932_KIDS_134.4_2.5,134.283606,2.932,5.85,24.19,7.83,2.79,A
galaxy_139.990943_0.8458_KIDS_140.0_0.5,139.990943,0.8458,8.91,24.23,9.4,1.34,A
galaxy_158.798889_-1.2692_KIDS_159.0_-1.5,158.798889,-1.2692,6.03,25.04,7.29,2.36,A
galaxy_159.855389_-0.0846_KIDS_160.0_-0.5,159.855389,-0.0846,6.1,24.07,10,0,A
galaxy_159.893139_-0.1471_KIDS_160.0_-0.5,159.893139,-0.1471,6.16,25.85,9.57,1.13,A
galaxy_160.950639_0.8978_KIDS_161.0_0.5,160.950639,0.8978,5.32,25.16,8.71,1.6,A
galaxy_161.235385_-1.3666_KIDS_161.0_-1.5,161.235385,-1.3666,8.76,23.98,8.6,3.13,A
galaxy_161.509252_-1.9792_KIDS_161.4_-2.5,161.509252,-1.9792,4.8,25.11,8.8,1.64,A
galaxy_163.144_-0.7013_KIDS_163.0_-0.5,163.144,-0.7013,6.34,24.96,8.71,1.6,A
galaxy_165.339544_3.5553_KIDS_165.5_3.5,165.339544,3.5553,10.42,25.13,9.14,1.46,A
galaxy_165.741861_-0.3487_KIDS_166.0_-0.5,165.741861,-0.3487,6.47,25.21,9.14,1.46,A
galaxy_166.167_0.0578_KIDS_166.0_0.5,166.167,0.0578,12.76,24.42,10,0,A
galaxy_166.531466_-1.4475_KIDS_167.0_-1.5,166.531466,-1.4475,11.26,25.02,10,0,A
galaxy_166.804389_-0.1868_KIDS_167.0_-0.5,166.804389,-0.1868,10.03,25.51,9.14,1.46,A
galaxy_167.622362_0.6166_KIDS_168.0_0.5,167.622362,0.6166,10.12,24.02,10,0,A
galaxy_169.161935_2.97_KIDS_169.5_3.5,169.161935,2.97,8.15,24.52,10,0,A
galaxy_169.64634_2.4724_KIDS_169.5_2.5,169.64634,2.4724,9.46,25.26,9.57,1.13,A
galaxy_169.711287_3.7634_KIDS_169.5_3.5,169.711287,3.7634,9.47,24.19,10,0,A
galaxy_170.279354_3.4687_KIDS_170.5_3.5,170.279354,3.4687,9.82,24.23,10,0,A
galaxy_170.583645_3.9008_KIDS_170.5_3.5,170.583645,3.9008,11.46,25.73,9.4,1.34,A
