name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_336.362215_-33.1725_KIDS_336.2_-33.1,336.362215,-33.1725,4.64,24.93,9.14,1.46,A
galaxy_337.66465_-29.702_KIDS_338.1_-30.2,337.66465,-29.702,6.47,25.56,7.71,2.56,A
galaxy_337.815547_-28.1102_KIDS_337.4_-28.2,337.815547,-28.1102,7.71,24.73,7.6,1.34,A
galaxy_338.094561_-31.0406_KIDS_337.9_-31.2,338.094561,-31.0406,6.16,25.73,8.29,1.6,A
galaxy_338.304958_-33.2615_KIDS_338.6_-33.1,338.304958,-33.2615,11.5,24.1,8.25,3.5,A
galaxy_338.389698_-28.9645_KIDS_338.4_-29.2,338.389698,-28.9645,8.69,25.83,8,3.42,A
galaxy_340.288591_-32.8338_KIDS_339.8_-33.1,340.288591,-32.8338,9.18,24.04,10,0,A
galaxy_340.289464_-28.6794_KIDS_340.8_-28.2,340.289464,-28.6794,5.34,25.02,7.86,1.46,A
galaxy_342.67248_-28.6904_KIDS_343.1_-28.2,342.67248,-28.6904,5.04,24.7,8.8,1.64,A
galaxy_343.579281_-34.0485_KIDS_343.2_-34.1,343.579281,-34.0485,4.15,25.33,9.57,1.13,A
galaxy_344.169658_-35.229_KIDS_344.2_-35.1,344.169658,-35.229,7.39,25.66,9.14,1.46,A
galaxy_344.334235_-34.0913_KIDS_344.4_-34.1,344.334235,-34.0913,8.14,25.78,9.57,1.13,A
galaxy_344.473694_-35.3465_KIDS_344.2_-35.1,344.473694,-35.3465,6.52,23.95,10,0,A
galaxy_344.564689_-33.689_KIDS_344.4_-34.1,344.564689,-33.689,10.16,24.01,10,0,A
galaxy_345.018534_-32.8059_KIDS_344.6_-33.1,345.018534,-32.8059,4.63,25.5,9.57,1.13,A
galaxy_345.685891_-33.6119_KIDS_345.6_-34.1,345.685891,-33.6119,5.76,25.26,8.29,1.6,A
galaxy_345.91666_-31.0802_KIDS_346.0_-31.2,345.91666,-31.0802,5.92,24.9,8,3.08,A
galaxy_346.193941_-35.2689_KIDS_346.6_-35.1,346.193941,-35.2689,5.93,24.35,7.75,1.5,A
galaxy_346.296674_-29.8066_KIDS_346.2_-30.2,346.296674,-29.8066,12.81,25.18,9.14,1.46,A
galaxy_346.624757_-33.5964_KIDS_346.9_-33.1,346.624757,-33.5964,7.41,23.99,9.4,1.34,A
galaxy_347.010716_-33.685_KIDS_346.8_-34.1,347.010716,-33.685,6.55,24.19,10,0,A
galaxy_347.060082_-28.183_KIDS_347.6_-28.2,347.060082,-28.183,11.61,24.97,9,1.55,A
galaxy_347.260953_-33.294_KIDS_346.9_-33.1,347.260953,-33.294,4.77,25.66,9.57,1.13,A
galaxy_347.356268_-29.6734_KIDS_347.3_-30.2,347.356268,-29.6734,5.73,25.23,8.71,1.6,A
galaxy_347.493869_-29.304_KIDS_347.5_-29.2,347.493869,-29.304,6.83,24.63,8.5,1.64,A
galaxy_347.585299_-29.1_KIDS_347.5_-29.2,347.585299,-29.1,8.67,24.76,8.71,1.6,A
galaxy_347.880426_-29.028_KIDS_347.5_-29.2,347.880426,-29.028,6.68,25.49,8.5,1.64,A
galaxy_347.969877_-28.926_KIDS_347.5_-29.2,347.969877,-28.926,11.04,25.23,10,0,A
galaxy_347.975985_-29.1178_KIDS_347.5_-29.2,347.975985,-29.1178,9.85,26.41,9,2.65,A
galaxy_348.038482_-28.4826_KIDS_347.6_-28.2,348.038482,-28.4826,9.71,24.13,10,0,A
galaxy_348.2556_-28.711_KIDS_348.6_-29.2,348.2556,-28.711,5.71,24.97,8.71,1.6,A
galaxy_348.288875_-34.2632_KIDS_348.0_-34.1,348.288875,-34.2632,6.63,23.81,10,0,A
galaxy_348.312257_-28.861_KIDS_348.6_-29.2,348.312257,-28.861,4.44,25.33,8.57,2.7,A
galaxy_348.323066_-29.8599_KIDS_348.5_-30.2,348.323066,-29.8599,6.89,25.75,9.57,1.13,A
galaxy_348.699858_-27.7389_KIDS_348.7_-28.2,348.699858,-27.7389,4.93,25.12,9.57,1.13,A
galaxy_349.058223_-27.9729_KIDS_348.7_-28.2,349.058223,-27.9729,9.45,25.85,9.57,1.13,A
galaxy_351.431034_-29.4958_KIDS_350.9_-29.2,351.431034,-29.4958,11.9,24.59,8.2,1.64,A
galaxy_354.115487_-31.9357_KIDS_354.1_-32.1,354.115487,-31.9357,5,25.01,9.14,1.46,A
galaxy_355.201708_-29.3763_KIDS_355.4_-29.2,355.201708,-29.3763,6.07,24.72,9.4,1.34,A
galaxy_355.456429_-27.67_KIDS_355.5_-27.2,355.456429,-27.67,4.89,25.51,8.71,1.6,A
galaxy_355.76773_-30.1204_KIDS_355.4_-30.2,355.76773,-30.1204,6.42,24.44,9.4,1.34,A
galaxy_355.813092_-28.1108_KIDS_355.5_-28.2,355.813092,-28.1108,4.73,24.8,8.71,1.6,A
galaxy_356.426341_-28.538_KIDS_356.6_-28.2,356.426341,-28.538,8.22,23.89,9.25,1.5,A
galaxy_356.706042_-28.124_KIDS_356.6_-28.2,356.706042,-28.124,5.01,24.87,9.25,1.39,A
galaxy_356.785169_-28.2484_KIDS_356.6_-28.2,356.785169,-28.2484,6.77,24.18,8.8,1.64,A
galaxy_357.544946_-26.689_KIDS_357.8_-27.2,357.544946,-26.689,5.9,25.03,8.2,1.64,A
galaxy_358.118879_-30.2531_KIDS_357.7_-30.2,358.118879,-30.2531,5.13,24.92,7.71,2.56,A
galaxy_358.628573_-34.33_KIDS_358.8_-34.1,358.628573,-34.33,7.84,24.39,7.83,2.79,A
galaxy_359.874608_-29.9547_KIDS_0.0_-30.2,359.874608,-29.9547,6.7,24.97,7.14,3.13,A
galaxy_359.881763_-27.1841_KIDS_0.0_-27.2,359.881763,-27.1841,5.83,24.72,7.14,3.13,A
